Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,2.050171,2.212739,1.956516,2.042851,2.042851,15844282
2021-03-27,2.042865,2.055991,1.967505,2.021345,2.021345,4439207
2021-03-28,2.021331,2.095544,1.991945,2.041099,2.041099,5564456
2021-03-29,2.041258,2.084810,2.007153,2.078504,2.078504,4849397
2021-03-30,2.078565,2.114954,2.057624,2.098989,2.098989,5487632
2021-03-31,2.099541,2.113931,2.018746,2.071541,2.071541,3856543
2021-04-01,2.071369,2.109652,2.048277,2.071977,2.071977,4426535
2021-04-02,2.071950,2.127185,2.061837,2.078254,2.078254,5467586
2021-04-03,2.078263,2.124593,1.975811,1.987820,1.987820,5650637
2021-04-04,1.987776,2.051882,1.975977,2.051806,2.051806,2687417
2021-04-05,2.052080,2.176816,2.024674,2.176816,2.176816,8092958
2021-04-06,2.176848,2.319282,2.131593,2.266961,2.266961,15670156
2021-04-07,2.266582,2.269207,2.069214,2.134156,2.134156,7791825
2021-04-08,2.133854,2.265901,2.110605,2.215638,2.215638,6901324
2021-04-09,2.215282,2.289948,2.163323,2.269477,2.269477,5079666
2021-04-10,2.269487,2.326122,2.233272,2.273028,2.273028,10006412
2021-04-11,2.273031,2.503852,2.268423,2.490291,2.490291,17121063
2021-04-12,2.489974,2.489974,2.326246,2.365665,2.365665,8991930
2021-04-13,2.365740,2.445008,2.340551,2.425804,2.425804,7514625
2021-04-14,2.425366,2.567572,2.338803,2.525851,2.525851,17498435
2021-04-15,2.525871,2.587669,2.412010,2.514426,2.514426,7929560
2021-04-16,2.514529,3.304063,2.484746,3.173511,3.173511,90648038
2021-04-17,3.173467,4.357676,3.149113,4.029291,4.029291,158825950
2021-04-18,4.029268,4.117802,2.775307,3.392224,3.392224,100355820
2021-04-19,3.393175,3.811560,3.137259,3.209209,3.209209,60097141
2021-04-20,3.209090,3.317503,2.923218,3.181161,3.181161,29718673
2021-04-21,3.181230,3.275188,2.833450,2.851824,2.851824,24358373
2021-04-22,2.849968,3.166775,2.300319,2.328947,2.328947,34805042
2021-04-23,2.329011,2.381169,1.897281,2.190108,2.190108,30768816
2021-04-24,2.189923,2.199710,2.024244,2.091689,2.091689,9139477
2021-04-25,2.091671,2.392783,2.049050,2.137983,2.137983,24643064
2021-04-26,2.137797,2.553703,2.137797,2.538686,2.538686,17609315
2021-04-27,2.538774,2.784761,2.491189,2.675529,2.675529,27863758
2021-04-28,2.675585,2.979040,2.553622,2.774041,2.774041,42281291
2021-04-29,2.774074,2.775180,2.600418,2.688124,2.688124,15874980
2021-04-30,2.687824,3.055661,2.647746,3.054999,3.054999,24827343
2021-05-01,3.054777,3.133964,2.862268,3.009355,3.009355,24401011
2021-05-02,3.009357,3.010622,2.809341,2.856190,2.856190,15048853
2021-05-03,2.855908,2.967155,2.800294,2.847731,2.847731,14959391
2021-05-04,2.847440,2.847440,2.434782,2.482716,2.482716,18557857
2021-05-05,2.481978,3.063366,2.448751,3.063016,3.063016,37068425
2021-05-06,3.063727,3.359722,2.997085,3.233280,3.233280,54973484
2021-05-07,3.232658,3.265723,3.008044,3.141204,3.141204,27644065
2021-05-08,3.138298,3.204370,3.090193,3.134702,3.134702,11804066
2021-05-09,3.134769,3.343284,2.981112,3.136285,3.136285,24343129
2021-05-10,3.135573,3.193921,2.943649,2.943649,2.943649,14205461
2021-05-11,2.943551,3.005225,2.778721,3.002000,3.002000,16501337
2021-05-12,3.001396,3.049491,2.454206,2.455797,2.455797,16815047
2021-05-13,2.453327,2.690163,2.341739,2.585223,2.585223,26649929
2021-05-14,2.584971,2.648800,2.507964,2.562839,2.562839,8740214
2021-05-15,2.563021,2.679720,2.422313,2.435438,2.435438,13188065
2021-05-16,2.435390,2.601689,2.376938,2.548645,2.548645,12218812
2021-05-17,2.548509,2.553487,2.291771,2.520910,2.520910,13166646
2021-05-18,2.522217,2.686557,2.441735,2.475427,2.475427,12371404
2021-05-19,2.475377,2.502873,1.778057,1.859724,1.859724,18031168
2021-05-20,1.859728,2.257608,1.829760,2.211366,2.211366,17129435
2021-05-21,2.210684,2.263687,1.819466,1.904811,1.904811,8527406
2021-05-22,1.904828,1.944174,1.700224,1.752583,1.752583,7544108
2021-05-23,1.752687,1.862110,1.349330,1.522446,1.522446,11728120
2021-05-24,1.522397,1.731781,1.475123,1.709894,1.709894,10146345
2021-05-25,1.709945,2.494051,1.609790,2.492665,2.492665,72158509
2021-05-26,2.494380,2.494380,2.175926,2.322111,2.322111,25334575
2021-05-27,2.321994,2.667087,2.187959,2.397059,2.397059,34671627
2021-05-28,2.397062,2.442519,1.988194,2.159824,2.159824,20092012
2021-05-29,2.159964,2.347080,1.928918,2.241198,2.241198,21649474
2021-05-30,2.239774,2.253235,2.051923,2.217254,2.217254,13755464
2021-05-31,2.217312,2.319348,2.067617,2.307726,2.307726,15745518
2021-06-01,2.307825,2.344108,2.219862,2.284878,2.284878,10388159
2021-06-02,2.284722,2.514231,2.261066,2.455662,2.455662,13250182
2021-06-03,2.454022,2.909580,2.393207,2.469932,2.469932,55896987
2021-06-04,2.468012,2.468012,2.137982,2.333779,2.333779,23296836
2021-06-05,2.332697,2.404929,2.125953,2.162072,2.162072,10839778
2021-06-06,2.162080,2.283642,2.154989,2.193001,2.193001,5537623
2021-06-07,2.193570,2.280645,2.067653,2.082860,2.082860,9140414
2021-06-08,2.084106,2.128289,1.713166,1.950167,1.950167,14360210
2021-06-09,1.950151,2.098093,1.875243,2.071635,2.071635,8041929
2021-06-10,2.071743,2.085391,1.927120,1.975063,1.975063,5174158
2021-06-11,1.974625,1.983465,1.850038,1.858493,1.858493,4833270
2021-06-12,1.858980,1.864760,1.753489,1.823538,1.823538,4157128
2021-06-13,1.824663,1.952411,1.811286,1.912765,1.912765,4423264
2021-06-14,1.912297,1.976320,1.857681,1.913746,1.913746,5191040
2021-06-15,1.927089,1.947277,1.880574,1.917536,1.917536,5047872
2021-06-16,1.898507,1.913980,1.799536,1.806767,1.806767,2686184
2021-06-17,1.807362,1.860566,1.782654,1.803019,1.803019,1642649
2021-06-18,1.802823,1.887658,1.748908,1.793138,1.793138,4298322
2021-06-19,1.793141,1.860194,1.745075,1.835673,1.835673,4396833
2021-06-20,1.835689,1.836745,1.632784,1.733369,1.733369,5186676
2021-06-21,1.733169,1.739391,1.452016,1.467740,1.467740,4903896
2021-06-22,1.469098,1.486428,1.167767,1.290751,1.290751,8186619
2021-06-23,1.290466,1.493121,1.260131,1.398154,1.398154,5823957
2021-06-24,1.409578,1.473002,1.370128,1.436809,1.436809,2504142
2021-06-25,1.436796,1.472616,1.320287,1.334089,1.334089,2554750
2021-06-26,1.334053,1.364176,1.267303,1.330486,1.330486,1750914
2021-06-27,1.331169,1.392264,1.317764,1.386831,1.386831,2024857
2021-06-28,1.387382,1.444005,1.355970,1.408066,1.408066,2442376
2021-06-29,1.410250,1.562095,1.409623,1.509100,1.509100,4252835
2021-06-30,1.509000,1.520388,1.416487,1.466094,1.466094,2097578
2021-07-01,1.465901,1.465901,1.362975,1.396784,1.396784,2049312
2021-07-02,1.397061,1.413444,1.332790,1.389062,1.389062,1500182
2021-07-03,1.389062,1.453284,1.380047,1.411238,1.411238,1348724
2021-07-04,1.411236,1.466375,1.405007,1.449285,1.449285,1217006
2021-07-05,1.449325,1.449325,1.346746,1.366861,1.366861,2158673
2021-07-06,1.366564,1.393748,1.354158,1.370151,1.370151,1052366
2021-07-07,1.370364,1.402494,1.349676,1.358462,1.358462,1249562
2021-07-08,1.358571,1.365875,1.302895,1.330840,1.330840,1547564
2021-07-09,1.330709,1.355193,1.292463,1.346830,1.346830,1089141
2021-07-10,1.346546,1.366193,1.321485,1.324142,1.324142,818549
2021-07-11,1.326491,1.349371,1.321969,1.342234,1.342234,602825
2021-07-12,1.342375,1.359195,1.317733,1.327952,1.327952,842370
2021-07-13,1.327982,1.328082,1.270571,1.285839,1.285839,1091815
2021-07-14,1.285855,1.361134,1.226966,1.283463,1.283463,3109584
2021-07-15,1.283490,1.289356,1.211356,1.228802,1.228802,827466
2021-07-16,1.229373,1.281870,1.220369,1.224499,1.224499,1428242
